positive,negative
0.032403240324032405,0.011701170117011701
0.0369036903690369,0.012601260126012601
0.0018001800180018,9.000900090009e-4
0.0783078307830783,0.0306030603060306
0.10171017101710171,0.041404140414041404
0.011701170117011701,0.010801080108010801
0.09720972097209721,0.0279027902790279
0.06840684068406841,0.027002700270027002
0.1332133213321332,0.0351035103510351
0.11791179117911792,0.020702070207020702
0.0846084608460846,0.0351035103510351
0.11341134113411341,0.027002700270027002
0.010801080108010801,0.009900990099009901
0.022502250225022502,0.019801980198019802
0.021602160216021602,0.020702070207020702
0.011701170117011701,0.019801980198019802
0.043204320432043204,0.0144014401440144
0.0306030603060306,0.021602160216021602
NA,0.013501350135013501
0.11701170117011701,0.0639063906390639
0.009000900090009001,0.0027002700270027003
NA,NA
NA,0.0018001800180018
0.016201620162016202,0.0027002700270027003
0.0351035103510351,0.011701170117011701
0.0027002700270027003,9.000900090009e-4
9.000900090009e-4,0.0018001800180018
9.000900090009e-4,9.000900090009e-4
0.016201620162016202,0.013501350135013501
0.032403240324032405,0.011701170117011701
0.0405040504050405,0.009900990099009901
0.017101710171017102,0.0063006300630063005
0.043204320432043204,0.012601260126012601
0.025202520252025202,0.0153015301530153
0.010801080108010801,0.009000900090009001
0.0018001800180018,0.0063006300630063005
0.0288028802880288,0.010801080108010801
0.0153015301530153,0.017101710171017102
0.1935193519351935,0.10891089108910891
0.0036003600360036,0.008100810081008101
0.06030603060306031,0.016201620162016202
0.022502250225022502,0.0153015301530153
0.0846084608460846,0.012601260126012601
0.0027002700270027003,9.000900090009e-4
0.05850585058505851,0.012601260126012601
0.0306030603060306,0.012601260126012601
0.0612061206120612,0.022502250225022502
0.024302430243024302,0.008100810081008101
0.08370837083708371,0.039603960396039604
NA,0.008100810081008101
0.0315031503150315,0.0072007200720072
0.0405040504050405,0.017101710171017102
0.28982898289828984,0.09180918091809182
0.025202520252025202,0.0063006300630063005
0.021602160216021602,0.008100810081008101
0.0153015301530153,0.0144014401440144
0.0063006300630063005,0.0018001800180018
0.09900990099009901,0.0405040504050405
0.041404140414041404,0.039603960396039604
0.05850585058505851,0.004500450045004501
0.022502250225022502,0.0063006300630063005
0.18361836183618363,0.05310531053105311
0.1494149414941494,0.032403240324032405
0.09000900090009001,0.0315031503150315
0.16021602160216022,0.0558055805580558
0.09180918091809182,0.027002700270027002
0.0306030603060306,0.011701170117011701
0.13771377137713772,0.041404140414041404
0.10711071107110712,0.0594059405940594
0.0351035103510351,0.013501350135013501
0.050405040504050404,0.018901890189018902
0.063006300630063,0.0333033303330333
0.1773177317731773,0.048604860486048604
0.06030603060306031,0.011701170117011701
0.0675067506750675,0.023402340234023402
0.1224122412241224,0.0306030603060306
0.11341134113411341,0.022502250225022502
0.1035103510351035,0.04590459045904591
0.017101710171017102,0.0063006300630063005
0.0153015301530153,0.0072007200720072
0.23942394239423942,0.08010801080108011
0.023402340234023402,0.0027002700270027003
0.11071107110711072,0.039603960396039604
0.025202520252025202,0.012601260126012601
0.018001800180018002,0.0036003600360036
0.020702070207020702,0.010801080108010801
0.0423042304230423,0.016201620162016202
0.08820882088208822,0.0369036903690369
0.0405040504050405,0.010801080108010801
0.036003600360036005,0.0288028802880288
0.0738073807380738,0.019801980198019802
0.022502250225022502,0.010801080108010801
0.1701170117011701,0.09180918091809182
9.000900090009e-4,0.0018001800180018
0.11071107110711072,0.018001800180018002
0.1791179117911791,0.0387038703870387
0.08640864086408641,0.017101710171017102
0.046804680468046804,0.010801080108010801
0.2925292529252925,0.12961296129612962
0.0675067506750675,0.0144014401440144
